Date;Name;Symbol;Holdings;Market Price;Value;Stake
2020-10-18;Amazon.com, Inc.;AMZN;5333.0;3272.71;1745336243.0;0.001
2020-10-18;American Express Company;AXP;151610700.0;104.91;15905478537.0;0.188
2020-10-18;Apple Inc.;AAPL;1003466264.0;119.02;119432554741.0;0.059
2020-10-18;Axalta Coating Systems Ltd;AXTA;23535041.0;25.64;603438451.0;0.1
2020-10-18;Bank of America Corp;BAC;1032852006.0;24.24;25036332625.0;0.119
2020-10-18;Bank of New York Mellon Corp;BK;74346864.0;38.02;2826667769.0;0.084
2020-10-18;Barrick Gold Corp;GOLD;20918701.0;27.57;576728587.0;0.012
2020-10-18;Biogen Inc;BIIB;643022.0;280.01;180052590.0;0.004
2020-10-18;Charter Communications Inc;CHTR;5213461.0;633.92;3304917197.0;0.025
2020-10-18;Coca-Cola Co;KO;400000000.0;50.03;20012000000.0;0.093
2020-10-18;Costco Wholesale Corporation;COST;4333363.0;381.54;1653351319.0;0.01
2020-10-18;DaVita Inc;DVA;36095570.0;90.78;3276755845.0;0.286
2020-10-18;General Motors Company;GM;74681000.0;33.45;2498079450.0;0.052
2020-10-18;Globe Life Inc;GL;6353727.0;83.24;528884235.0;0.06
2020-10-18;Johnson & Johnson;JNJ;3271.0;148.1;48443510.0;0.0
2020-10-18;JPMorgan Chase & Co.;JPM;22208427.0;101.51;2254377425.0;0.0069999999999999
2020-10-18;Kraft Heinz Co;KHC;325634818.0;32.16;10472415747.0;0.266
2020-10-18;Kroger Co;KR;21940079.0;34.07;747498492.0;0.0279999999999999
2020-10-18;Liberty Global PLC Class A;LBTYA;18010000.0;21.81;392798100.0;0.099
2020-10-18;Liberty Global PLC Class C;LBTYK;7346968.0;21.57;158474100.0;0.018
2020-10-18;Liberty Latin America Ltd Class A;LILA;2630792.0;10.16;26728847.0;0.052
2020-10-18;Liberty Latin America Ltd Class C;LILAK;1284020.0;10.09;12955762.0;0.008
2020-10-18;Liberty Sirius XM Group Series A;LSXMA;14860360.0;34.39;511047780.0;0.147
2020-10-18;Liberty Sirius XM Group Series C;LSXMK;43208291.0;34.28;1481180215.0;0.186
2020-10-18;M&T Bank Corporation;MTB;4536174.0;100.11;454116379.0;0.035
2020-10-18;Mastercard Inc;MA;4564756.0;339.4;1549278186.0;0.005
2020-10-18;MONDELEZ INTERNATIONAL INC Common Stock;MDLZ;578.0;57.97;33506660.0;0.0
2020-10-18;Moody's Corporation;MCO;24669778.0;289.06;7131046029.0;0.131
2020-10-18;PNC Financial Services Group Inc;PNC;5350586.0;111.48;596483327.0;0.013
2020-10-18;Procter & Gamble Co;PG;3154.0;144.39;45540606.0;0.0
2020-10-18;Restoration Hardware Holdings, Inc common stock;RH;1708348.0;385.3;658226484.0;0.088
2020-10-18;Sirius XM Holdings Inc;SIRI;50000000.0;5.84;292000000.0;0.012
2020-10-18;Snowflake Inc;SNOW;6125376.0;242.52;1485526188.0;0.022
2020-10-18;SPDR S&P 500 ETF Trust;SPY;394.0;347.29;13683226.0;0.0
2020-10-18;StoneCo Ltd;STNE;14166748.0;57.9;820254709.0;0.046
2020-10-18;Store Capital Corp;STOR;24415168.0;27.14;662627660.0;0.096
2020-10-18;Suncor Energy Inc.;SU;19201525.0;11.88;228114117.0;0.013
2020-10-18;Synchrony Financial;SYF;20128000.0;29.38;591360640.0;0.034
2020-10-18;Teva Pharmaceutical Industries Ltd;TEVA;42789295.0;9.41;402647266.0;0.039
2020-10-18;U.S. Bancorp;USB;149590275.0;39.14;5854963364.0;0.099
2020-10-18;United Parcel Service, Inc.;UPS;594.0;174.44;10361736.0;0.0
2020-10-18;Vanguard 500 Index Fund ETF;VOO;43.0;318.99;13716570.0;0.0
2020-10-18;Verisign, Inc.;VRSN;12815613.0;207.34;2657189199.0;0.1119999999999999
2020-10-18;Visa Inc;V;9987460.0;200.26;2000088740.0;0.005
2020-10-18;Wells Fargo & Co;WFC;136340848.0;22.86;3116751785.0;0.033
